destinasi,review,sentiment,text_cleaned,sent_num
Sarae Hills,Tmpat luas sejuk butuh stamina buat mengelilingi area ini.tiket 50-65 rb/org bisa di tuker minuman d pintu keluar.untuk parkir tidsk ada yg mengarahkan.shg bnyak org yg tidak tau,Negative,tmpat luas sejuk butuh stamina mengelilingi area tiket ribu orang tuker minuman pintu parkir tidsk mengarahkan shg orang tidak tau,0.0
Sarae Hills,Wisata di bandung yang oke banget. Kesini serasa keliling dunia. Dengan tiket masuk 50 rb (tanpa jembatan gantung) atau yg 65 rb dengan jembatan gantung. Tiket bisa ditukar minuman. Ada berbagai macam spot foto dr beberapa negara.,Positive,wisata bandung oke banget kesini serasa keliling dunia tiket masuk ribu tanpa jembatan gantung ribu jembatan gantung tiket ditukar minuman spot foto negara,1.0
Sarae Hills,"-Harga tiket 50k/org (bisa berubah ygy)
-tiket bisa ditukar dengan minuman (milo, lemon tea dll)
-ada paspor nya buat minta cap/stempel (bisa dituker di photo studio jadi ada diskon)

-antar jemput pake mobil serasa tour

-naik jembatan bayar 15k/org (bisa berubah)
-banyak spot foto
-toilet bersih

-utama sih masjidnya keren.

Tutup jam 7 malam ygy..

Megang 100k sabi siih (untuk 1 org)

Lupa sisanya wkwk",Positive,harga tiket orang berubah ygy tiket ditukar minuman milo lemon tea dll paspor cap stempel dituker photo studio diskon jemput pakai mobil serasa tour jembatan bayar orang berubah spot foto toilet bersih utama masjidnya keren tutup jam malam ygy memegang sabi orang lupa sisanya wkwk,1.0
Sarae Hills,"Banyak spot foto keren, harga 50rb/org. Free minuman, cuman milonya kurang manis kaya kebanyakan air hehe. Over all sangat memuaskan, abang dan mbanya ramah2, selalu nawarin buat fotoin. Baik2 pokoknya",Positive,spot foto keren harga ribu orang free minuman cuman milonya kurang manis kayak kebanyakan air hehe over all memuaskan abang mbaknya ramah menawari memfoto pokoknya,1.0
Sarae Hills,"Tempatnya sangat bagus,lagi ngehits di kota Bandung khususnya wilayah Bandung Barat, ada cafe dan spot2 foto di dalamnya. Sangat cocok bagi keluarga yang ingin menikmati indahnya pemandangan dan suasana terutama di malam hari.",Positive,tempatnya bagus ngehits kota bandung wilayah bandung barat cafe spot foto dalamnya cocok keluarga menikmati indahnya pemandangan suasana malam,1.0
Sarae Hills,"Main kesini minggu sore, sekitar jam 5 sore cuaca mendung dan hujan ketika pulang.

Bagi pengunjung yg mau main ke sini sy sarankan untuk ambil parkiran di gd bawahnya cafe sudut pandang, ambil yg lantai bawah, lantai F, agar pas pulang ngk terlalu jauh naik tangganya.

Harga tiket masuk di weekend 50rb utk berdua, tiket ditukar dg soft drink. Ada fasilitas kendaraan pengangkut pengunjung untuk naik turun ke area wisatanya.

Spot foto tdk terlalu banyak, tapi cantik2, apalagi ketika sore. Antar satu spot dg spot lainnya berdekatan, jd ngk terlalu jauh jln nya.

Staff nya ramah2, bisa dimintai tlong untuk ambilin foto.

Toiletnya super bersih, dan wangi, nyaman.",Positive,main kesini minggu sore jam sore cuaca mendung hujan pulang pengunjung main sarankan ambil parkiran gd bawahnya cafe sudut pandang ambil lantai lantai f pas pulang tangganya harga tiket masuk weekend ribu berdua tiket ditukar soft drink fasilitas kendaraan pengangkut pengunjung turun area wisatanya spot foto tidak cantik sore spot spot berdekatan jalan staff ramah tlong mengambil foto toiletnya super bersih wangi nyaman,1.0
Sarae Hills,"Banyak spot foto bagus. Tempat tujuan yg oke dan seru. Pelayanan mas dan mba nya juga ramah, mau bantuin taking pic. Dapet welcome drink, bisa dianter shuttle bus pas pulang. Mushola di deket santorini tenang dan bersih.",Positive,spot foto bagus tujuan oke seru pelayanan mas mbak ramah bantuin taking pic welcome drink diantar shuttle bus pas pulang mushola santorini tenang bersih,1.0
Sarae Hills,"Pengalaman yang menarik naik shuttle bus dengan track yg nanjak turun kelak kelok, dapat welcome drink, karena baru dibuka jadi semua fasilitasnya belum jadi semua, jembatan masih dalam pembangunan, masih ada pembangunan untuk wisata lainnya. Spot foto instagramable... kereeeen WOW sarae hills, setelah dari sini jangan lupa mengisi tenaga dengan menyantap makanan di cakrawala resto yaaa gaess ada live music dan makanannya juga enaaak ððð",Positive,pengalaman menarik shuttle bus track nanjak turun kelak kelok welcome drink dibuka fasilitasnya jembatan pembangunan pembangunan wisata spot foto instagramable keren wow sarae hills jangan lupa mengisi tenaga menyantap makanan cakrawala resto ya gaess live music makanannya enaaak ð ð ð,1.0
Sarae Hills,"Kesini karena gak sengaja jadi akhirnya coba lah. Pertama kita diantar pakai mobil dr atas untuk menuju kawasannya dibawah HTMnya 50 K (weekday) kalau weekend lupa gak tanya. Nah tp sampe bawah kita dapat free minuman lemon tea/milo. Nah lanjut disana ada jembatan gantung gitu, bwahnyq jurang untuk masuk bayar lg 15K jd total 65K. Habis itu diantar lg pake mobil ke bawah. Nah dibawah spot fotonya cukup banyak dan ada mas/mba yg bisa fotoin kita.
Overall sih menarik ya. Tp krn mash banyak pembangunan jd kurang puas untuk 50 K nya hehhe",Negative,kesini sengaja coba diantar pakai mobil kawasannya dibawah htmnya weekday weekend lupa free minuman lemon tea milo disana jembatan gantung bwahnyq jurang masuk bayar total habis diantar pakai mobil dibawah spot fotonya mas mbak memfoto overall menarik ya mash pembangunan kurang puas hehhe,0.0
Sarae Hills,"Kalau ingin foto dengan Patung Liberty, Sphinx, Menara Eiffel, Santorini, dll, bisa disini. Bisa juga naik kuda poni, kereta dll. Tiket 50,000 utk yang biasa dan 65,000 (bisa ke jembatan). Dapat free 1 drink. Lebih baik datang pagi supaya enak foto2 + ga terlalu panas mataharinya.",Positive,foto patung liberty sphinx menara eiffel santorini dll kuda poni kereta dll tiket jembatan free drink pagi enak foto panas mataharinya,1.0
Sarae Hills,"WOW Wonderful of The World.
Kalau tidak terlalu ramai, lumayan utk jalanÂ² menikmati udara segar.
Harus waspada lingkungan, memperhatikan orang yang mau foto. Bagi yang foto juga harap tahu diri, jangan terlalu lama menghalangi orang yang mau lewat.
Jembatan gantung ala Golden Gate lumayan menantang.
Jalur jalan mendaki tanjakan curam.
Tidak direkomendasikan untuk kursi roda dan difabel.",Negative,wow wonderful of the world tidak ramai lumayan jalanâ² menikmati udara segar waspada lingkungan memperhatikan orang foto foto harap jangan menghalangi orang jembatan gantung ala golden gate lumayan menantang jalur jalan mendaki tanjakan curam tidak direkomendasikan kursi roda difabel,0.0
Sarae Hills,"Sangat sangat rekomendasi bgt.. Bw payung khawatir panas hujan. Ad mushola, t4 jualan snack minuman, siap2 kaki kuat pake Sepatu saran biar enak jalan nya. Spot foto tdk diragukan lgi. Petugas byk membantu utk dimintai tolong ber foto gercep. Tiket dituker minuman milo n lemon. Ada shuttle car utk turun kebwh ntar pulangnya dijemput lagi. Klo naek grab online hrs sabar nunggu ny yah, nunggu yg drop dri arah datang. Tp kl kita keluarnya msh sblm jam 3 cpt dpt nya lagi. Saya dpt sktr 5mnt an driver nya. Utk dtg jgn trlu siang krn macet. Ada byk jalur hrs pinter2 liat maps letak2 macet utk cr jalur alternatif.",Positive,rekomendasi banget bawa payung khawatir panas hujan mushola t jualan snack minuman kaki kuat pakai sepatu saran biar enak jalan spot foto tidak diragukan petugas membantu tolong ber foto gercep tiket dituker minuman milo n lemon shuttle car turun kebwh entar pulangnya dijemput kalo grab online sabar menunggu ya menunggu drop arah kalo keluarnya jam cepat sktr an driver jangan trlu siang macet jalur pintar lihat maps letak macet jalur alternatif,1.0
Sarae Hills,"Tempat: cocok utk bawa keluarga atau rombongan. Lebih ke tempat jalan & foto2. (Kecuali weekend/hari libur jadi penuh, susah mau foto) Baiknya pakai flat shoes/spatu.
Parkiran luas di atas ada, di bawah juga ada.
Masih satu kawasan dengan cafe2 punclut yang lain jadi mudah untuk cari makan.
HTM nya 50k/person (dapat minum), jalan di jembatan hits 15k/person. Mau foto sama embek/burung bayar lagi 20k/person. ðð
Ok lah untuk nyantai2 bareng keluarga/kerabat tercintah.",Positive,cocok bawa keluarga rombongan jalan foto kecuali weekend libur penuh susah foto baiknya pakai flat shoes spatu parkiran luas kawasan cafe punclut mudah cari makan htm person minum jalan jembatan hits person foto embek burung bayar person ð ð ok nyantai bareng keluarga kerabat tercintah,1.0
Sarae Hills,"Tempat yang cantik untuk berselfie ria sambil menikmati sejuknya udara kota Bandung
Tapi menurut saya kurang banyak spot2 fotonya, sekedar saran mungkin perlu ditambah lagi miniatur ikon2 dari negara2 lainnya...
Seperti Menara Miring Pisa, Merlion, atau mungkin Menara Kembar Malaysia...Dan masih banyak lagi ikon2 lainnya
Wah akan semakin keren pastinya ððð

Oh ya mungkin rasa minumannya harus lebih ditingkatkan lagi, agar tidak mengecewakan setelah lelah berjalan keliling pas diminum rasanya minimalis banget ðð¤­ð¤­ð

I Love Bandung â¤",Negative,cantik berselfie ria menikmati sejuknya udara kota bandung kurang spot fotonya sekedar saran ditambah miniatur ikon negara menara miring pisa merlion menara kembar malaysia ikon keren pastinya ð ð ð oh ya minumannya ditingkatkan tidak mengecewakan lelah berjalan keliling pas diminum minimalis banget ð ð ð ð i love bandung â,0.0
Sarae Hills,"Tempat spot foto yang menawan, menawarkan traveling ke negara Eropa dan Amerika. Disediakan penjaga di setiap post bertugas untuk membantu memfoto.
Tapi menurut saya dengan fasilitas yang ada harga tiket terlalu mahal.",Negative,spot foto menawan menawarkan traveling negara eropa amerika disediakan penjaga post bertugas membantu memfoto fasilitas harga tiket mahal,0.0
Sarae Hills,"Ambil paket yang 65.000 bisa foto di Jembatan Golden Gate, Sphinx, Colosseum, Menara Eiffel, Santorini, Patung Liberty.
Kalau mau masuk Castile harus bayar lagi. Kalau hujan, ada petugas yang menawarkan payung, ada shelter juga untuk berteduh. Ada hiburan musik jalan di Amphitheater, dan bisa sholat di musholla..",Positive,ambil paket foto jembatan golden gate sphinx colosseum menara eiffel santorini patung liberty masuk castile bayar hujan petugas menawarkan payung shelter berteduh hiburan musik jalan amphitheater sholat musholla,1.0
Sarae Hills,"Wow Sarae hills Tempat wisata baru d bandung..
Bagi yang hobby foto foto cocoklaah datang kemari.
Tersedia jasa foto juga lohh yang ingin hasil fotonya lebih baguuss..

Karena waktu berkunjung masih grand opening jadi masih banyak spot foto yang belum selesai..
Dan tempat makan yang kurang memadai..
Sepertinya Akan lebih indah jika sudah selesai semua..

Bagi yang bawa bayi atau balita.. Kurang cocok bawa stroller karena medan jalannya..
Jangan lupa memakai sepatu yang nyaman dipakai kalo berkunjung kemari..

HTM IDR 50K, bisa d tukarkan dengan sofdrink d pintu masuk..

Sekian info nya.. semoga sedikit membantu ya.. ð",Negative,wow sarae hills wisata bandung hobby foto foto cocoklaah kemari tersedia jasa foto loh hasil fotonya baguuss berkunjung grand opening spot foto selesai makan kurang memadai indah selesai bawa bayi balita kurang cocok bawa stroller medan jalannya jangan lupa memakai sepatu nyaman dipakai kalo berkunjung kemari htm idr tukarkan sofdrink pintu masuk sekian info semoga membantu ya ð,0.0
Sarae Hills,"Waktu dateng lewat jembatan agak takut karna goyang goyang dan tinggi sekalið tapi karna tempatnya cantik ilang takutnya. Berasa ada di Paris, Santorini, Pulau Liberty tempat tempat yg maybe akan kita kunjungi soon, replikanya dulu aja udah soo happy hihii. Once again it's a very beautifull placeð worth to visitð",Positive,jembatan takut goyang goyang sekalið tempatnya cantik hilang takutnya berasa paris santorini pulau liberty maybe kunjungi soon replikanya soo happy hihii once again si a very beautifull placeð worth visitð,1.0
Sarae Hills,Mantap. Wow bisa keliling dunia hanya beberapa jam. Harga sepadan dengan yg dilihat. Lewati jembatan gantung bayar per orang 15k dan mendapat passport yg akan dicap di setiap negara.dan passport yg sudah dicap bisa ditukar/dapat potongan harga merchandise,Positive,mantap wow keliling dunia jam harga sepadan lewati jembatan gantung bayar orang passport dicap negara passport dicap ditukar potongan harga merchandise,1.0
Sarae Hills,"Tiket masuk 50ribu/org, tp worted sih krn dpt minum plus bs foto di byk spot foto bagus tp untuk foto dijembatan merah bayar terpisah.. Kalo mau kesini lebih enak pas weekday, tmpt ga terlalu penuh, jd lbh leluasa buat selfie. Jgn khawatir hrs jalan jauh kebawah krn ada mobil yg antar dr atas sampe ke dpn pintu msk sarae hill..",Positive,tiket masuk ribu orang worted minum plus foto spot foto bagus foto dijembatan merah bayar terpisah kalo kesini enak pas weekday penuh leluasa selfie jangan khawatir jalan kebawah mobil pintu masuk sarae hill,1.0
Sarae Hills,"Tempat wisata keren, dekat dengan cafe2 fannibjek wisata lainnya. Tiket masuk Rp 50.000,- bisa ditukar minuman. Didalam juga tak perlu cape jalan ad shuttle yg akan membawa kita.",Positive,wisata keren cafe fannibjek wisata tiket masuk rp ditukar minuman didalam tak capek jalan shuttle membawa,1.0
Sarae Hills,"Spot foto banyak, ada wahana permainan anak juga , petugasnya ramah2 selalu menawarkan untuk di bantu di fotokan , tempat nya bagus , yang suka foto2 wajib datang kesini",Positive,spot foto wahana permainan anak petugasnya ramah menawarkan bantu fotokan bagus suka foto wajib kesini,1.0
Sarae Hills,"Tempat ny lumayan, tiket 50rb..banyak spot foto nya..cafe juga ada.. Cuma waktu kesana panas banget tp bagus sih bs bebas berfoto dari pada ujan iya kan bayaran ny kulit jd pd gosongðð¤£",Positive,lumayan tiket ribu spot foto cafe kesana panas banget bagus bebas berfoto ujan iya bayaran kulit gosongð ð,1.0
Sarae Hills,"Tempatnya di kawasan wisata punclut, paling bawah. Capek banget kalo dari atas jalan kaki. Saran sih mobil antar jemputnya dari depan sudut pandang. Biar ga terlalu jauh jalan naik turunnya. Untuk HTM 50K kemahalan sih yg vouchernya cuma dituker sama minuman. Kesini siangÂ² panas terik bgt cuma panggung yg teduh. Tp cakep sih buat fotoÂ² semua spot instagrammable.",Positive,tempatnya kawasan wisata punclut capek banget kalo jalan kaki saran mobil jemputnya sudut pandang biar jalan turunnya htm kemahalan vouchernya dituker minuman kesini siangâ² panas terik banget panggung teduh cakep fotoâ² spot instagrammable,1.0
Sarae Hills,"Lumayan bagus....ada shelter utk menuju ke dalamnya, utk naik jembatan dikenakan biaya lagi sebesar 15K perorangnya",Positive,lumayan bagus shelter dalamnya jembatan dikenakan biaya perorangnya,1.0
Sarae Hills,"Untuk lokasinya cukup mudah di cari dan tidak jauh dari pusat kota bandung kurang lebihnya 45 Menit (Kondisi Jalanan Lancar) | Untuk HTM : 50k/Org free minuman, dan tambahan wahana Golden Bridge : 15k/Org, | Untuk yang mau foto studio di WOW.Saraehills Untuk paket termurahnya 4 Orang dengan harga : 50k/10 Menit. | Lokasi sangat bersih terawat dengan baik, pelayanannya sangat ramah juga, jangan sungkan untuk minta bantuan ke tour guidenya (pekerja disana) | Untuk masuk ke sini kalian dilarang membawa makanan dari luar ya ! | Overall i like this place, and recommended.",Positive,lokasinya mudah cari tidak pusat kota bandung kurang lebihnya menit kondisi jalanan lancar htm orang free minuman tambahan wahana golden bridge orang foto studio wow saraehills paket termurahnya orang harga menit lokasi bersih terawat pelayanannya ramah jangan sungkan bantuan tour guidenya pekerja disana masuk dilarang membawa makanan ya overall i like this place and recommended,1.0
Sarae Hills,"Tempat nya bagus banyak spot foto nya,ada mini zoo juga ( kelinci,domba,burung) harga tiket 50.000/orang tiket bisa di tuker minuman
Suka ada promo dari bank tertentu kemaren dari BRI beli 3 tiket gratis 1 ð",Positive,bagus spot foto mini zoo kelinci domba burung harga tiket orang tiket tuker minuman suka promo bank kemarin bri beli tiket gratis ð,1.0
Sarae Hills,"Harus kuat jalan karena dr parkir juga jalannya turun naik tangga .walaupun pulangnya disediakan shuttle bus tetapi ytk ke lokasi spot foto tetap harus berjalan. Dimulai dr menyusuri golden gate (jembatan gantung) lalu ada coloseum,danau teratai,santorini dll. Ada mushola tiket bs ditukar dgn minuman lemontea atau coklat",Positive,kuat jalan parkir jalannya turun tangga pulangnya disediakan shuttle bus ytk lokasi spot foto berjalan menyusuri golden gate jembatan gantung coloseum danau teratai santorini dll mushola tiket ditukar minuman lemontea coklat,1.0
Sarae Hills,Keliling tempat fav di dunia dalam waktu singkat? Bisa! Disini ad banyak banget spot foto yang bagus. Tempatnya juga masih baru dan kayaknya masih dalam tahap pembangunan untuk lebih banyak spot fotonya. Harga tiket masuknya 50k (dapat lemon tea dari sana juga ) untuk spot fotonya gratis semua kecuali ada biaya tambahan untuk jembatan golden gate sekitar 15k kalau tidak salah. Bolehlah dicoba kesini kalau tidak ramai ð¬ Petugasnya ramahâ btw dan paling penting petugasnya rataâ pada jago buat fotoin hahaha!,Positive,keliling favorit dunia singkat banget spot foto bagus tempatnya kayaknya tahap pembangunan spot fotonya harga tiket masuknya lemon tea spot fotonya gratis kecuali biaya tambahan jembatan golden gate tidak salah dicoba kesini tidak ramai ð petugasnya ramahâ btw petugasnya rataâ jago memfoto hahaha,1.0
Sarae Hills,"Tempatnya luas, spot2 fotonya bagus, kastilnya juga keren ala-ala game of thrones gitu, sepertinya bakalan ada spot baru lagi kelak, sebaiknya weekdays kalau mau kesini biar gak penuh",Positive,tempatnya luas spot fotonya bagus kastilnya keren ala ala game of thrones spot kelak weekdays kesini biar penuh,1.0
Sarae Hills,"Destinasi wisata luar negeri yang dipaketkan disini (dari beberapa negara). Ada beberapa penambahan wisata baru (sedang dalam proses pembuatan). Jembatan gantung yang membentang, kalau didesain dari kaca, seperti di China pasti lebih keren lagið¤©ð¤©ð¤©",Positive,destinasi wisata negeri dipaketkan negara penambahan wisata proses pembuatan jembatan gantung membentang didesain kaca china keren lagið ð ð,1.0
Sarae Hills,Tempatnya instagramable banget...  Seolah-olah keliling dunia. Tempatnya tertata rapi dan bersih. Harga masuk terjangkau termasuk transportasi utk capai lokasi. Dianjurkan untuk datang lbh pagi atau agak sore supaya ketika berfoto tdk kepanasan. Tapi all 4 all keeerreeennnn banget...,Positive,tempatnya instagramable banget olah keliling dunia tempatnya tertata rapi bersih harga masuk terjangkau transportasi capai lokasi dianjurkan pagi sore berfoto tidak kepanasan all all keeerreeennnn banget,1.0
Sarae Hills,"Tempatnyaa Bagus, Instagrammable, Hits dan pastinya Harga Terjangkauâ¨ï¸
Cocok banget untuk refresing bareng orang orang Tercintaa ya guys..
Ada cafe nya jg, ada Tempat main anak, dan enaknya memiliki Tempat parkir yang luas yaa.. ngga perlu takut ngga kebagian parkir walaupun Holiday weekendð
Weekend Tiket masuk nya aku kemarin 50 rb ya guys free minuman..
Sorry ngga semua foto soalnya kemaren daerah bandung hujan dari jam 2an ð¥² Tapi its okeee tetep Happy yaa, Btw kmrn aku kesini bareng Pak Suamið¥°
Oke guys, semoga membantuu..",Positive,tempatnyaa bagus instagrammable hits pastinya harga terjangkauâ ï cocok banget refresing bareng orang orang tercintaa ya guys cafe main anak enaknya memiliki parkir luas ya takut kebagian parkir holiday weekendð weekend tiket masuk kemarin ribu ya guys free minuman sorry foto kemarin daerah bandung hujan jam an ð ² its okeee happy ya btw kemarin kesini bareng suamið oke guys semoga membantuu,1.0
Sarae Hills,"Tempat wisata di bandung wajib banget dikunjungi bagi wasatawan luar tepatnya di daerah punclut lembang
Untuk tiket biaya masuknya ada 2
50k sama 65k bedanya kalo yang 65k itu bisa lewat jembatan merah",Positive,wisata bandung wajib banget dikunjungi wasatawan tepatnya daerah punclut lembang tiket biaya masuknya bedanya kalo jembatan merah,1.0
Sarae Hills,"Kalo kesini enaknya setelah perut kenyang yaa... Dan badan fit bertenaga karna lumayan luas kelilingnya... Ada kereta odong""(?) Buat akses kebawah, sm plgnya jg bisa naik kreta odong"" jg, karna lumayan nanjak bagi yg gabiasa jalan... Untuk makanan kita gatau karna kita cmn keliling maybe +-3jam aja... Karna cuaca mendung"" dan seempet grimisss.. parkiran luass.. Lumayan lahh healing cuci mata wwkwk",Positive,kalo kesini enaknya perut kenyang ya badan fit bertenaga lumayan luas kelilingnya kereta odong akses kebawah plgnya kreta odong lumayan nanjak gabiasa jalan makanan enggak tau cuman keliling maybe jam cuaca mendung seempet grimisss parkiran luass lumayan healing cuci mata wwkwk,1.0
Sarae Hills,"SANGAT SANGAT PUAS, PEMANDANGANNYA BAGUS2, MAKANANNYA ENAK(cuma agak mahal hehe). Toiletnya bersih. Harga Tiket 50RB/ORANG. Baru buka 3 bulan jadi masih bersih dan bangunannya masih pada bagus",Positive,puas pemandangannya bagus makanannya enak mahal hehe toiletnya bersih harga tiket ribu orang buka bersih bangunannya bagus,1.0
Sarae Hills,"Tempatnya sejuk, udara segar...banyak spot photo..ada miniatur patung liberty, Spinx, Santorini dll...jadi serasa keliling dunia dalam sehari",Positive,tempatnya sejuk udara segar spot photo miniatur patung liberty spinx santorini dll serasa keliling dunia sehari,1.0
Sarae Hills,"Cocok untuk kawula muda yang ingin berfoto dengan spot luar negeri.
Masuk ke area bisa lewat jembatan, ataupun angkutan yang telah disediakan.
Naik ke area parkir cukup menguras tenaga untuk lanjut usia",Negative,cocok kawula muda berfoto spot negeri masuk area jembatan angkutan disediakan area parkir menguras tenaga usia,0.0
Sarae Hills,Buat emak2 yg suka selfie ini pas neh buat foto-foto...cuma harus kuat jalan kaki yað¤­hampir sama dengan GAA . Di sini buat yg pinter atau suka nyanyi boleh nyanyi sepuas nya asal nyawer buat akang sound nyað¤£ â¦,Positive,emak suka selfie pas nih foto foto kuat jalan kaki yað pintar suka nyanyi nyanyi sepuas nyawer akang sound nyað â,1.0
Sarae Hills,"Lumayan bagus tiket seharga 65rb/org including ice lemon tea/milo ice, jembatan gantung dan beberapa icon dunia ... masih dalam pembangunan",Positive,lumayan bagus tiket seharga ribu orang including ice lemon tea milo ice jembatan gantung icon dunia pembangunan,1.0
Sarae Hills,"Tempat wisata dg konsep yga bagus, ada miniatur art the triomphe, menara eiffel, piramida mesir, colosseum roma italia, santorini, patung liberty, dll,  petugasnya jg ramah2ð â¦",Positive,wisata konsep yga bagus miniatur art the triomphe menara eiffel piramida mesir colosseum roma italia santorini patung liberty dll petugasnya ramahð â,1.0
Sarae Hills,"Dah 2x kesini hehe... Tempatnya bersih, spot2 foto nya banyaakkk, puas deh foto2 disini :D mas2 mbak2 nya ramah... Saran aja kalo mau kesini jangan pas weekend, soalnya rameee bgt, Ampe susah mau foto di piramid :D",Positive,deh kali kesini hehe tempatnya bersih spot foto banyaakkk puas deh foto mas mbak ramah saran kalo kesini jangan pas weekend rameee banget susah foto piramid,1.0
Sarae Hills,"Waktu kesana kebetulan lagi ada promo beli 5tiket gratis satu (50k per orang), pakai debit BCA. Tiketnya nanti ditukar sama minuman. Ada 3 pilihan lemon tea, milo, es teh manis. Gratis antar jemput pakai mobil dari pintu masuk atas ke bawah, begitu juga sebaliknya. Tempatnya luas banget. Lumayan olah raga sambil cuci mata. Danaunya indah, banyak angsanya. Tempatnya juga bersih. Banyak spot foto yang cakep-cakep. Sayang waktu itu gak sempat naik ke jembatan. Kalau jembatan tiketnya beda lagi. Bayar 20k.",Positive,kesana promo beli tiket gratis orang pakai debit baca tiketnya ditukar minuman pilihan lemon tea milo es teh manis gratis jemput pakai mobil pintu masuk tempatnya luas banget lumayan olah raga cuci mata danaunya indah angsanya tempatnya bersih spot foto cakep cakep sayang jembatan jembatan tiketnya beda bayar,1.0
Sarae Hills,"Rekreasi keluarga wajib datang ke tempat ini, tiket saat weekend yang all in 75k/orang dan 60k/orang yang biasa. Ada music live nya juga saat weekend. Kalau kalian mau ke mesir, newyork, roma, itali dalam 1 tempat, sarae hills jawabannya",Positive,rekreasi keluarga wajib tiket weekend all orang orang music live weekend mesir newyork roma itali sarae hills jawabannya,1.0
Sarae Hills,"Masuk kesini udah dapet 2x minuman.. pas masuk sama pas keluar, asik banget..
Spot fav ku yang jembatannya.. bagus banget pokoknya. Sangat recommended! ð â¦",Positive,masuk kesini kali minuman pas masuk pas asik banget spot favorit ku jembatannya bagus banget pokoknya recommended ð â,1.0
Sarae Hills,"Bagus.. tempatnya bersih.. ada petugas yang jaga juga lumayan membantu.. bisa dimintain tolong untuk fotoin rame2 dan petugasnya sudah tau spot2 foto yg bagus.. ð
Mantap lah pokoknya.. ngga usah jauh2 tempat mainnya.. semoga semakin bagus lagi..",Positive,bagus tempatnya bersih petugas jaga lumayan membantu dimintain tolong memfoto rame petugasnya tau spot foto bagus ð mantap pokoknya mainnya semoga bagus,1.0
Sarae Hills,"Tempat wisata di Dago Bandung yang kekinian dengan pemandangan lembah dan bukit  indah, hijau dan segar dimana ada istana kastil dan miniatur keajaiban/ikon dunia yang instagramabble cocok untuk segala usia mengisi liburan ..paling catatannya ialah karena jalan ke lokasi dari arah Bandung cukup curam  maka persiapkan kondisi kendaraan seoptimal dan sesehat mungkin",Negative,wisata dago bandung kekinian pemandangan lembah bukit indah hijau segar dimana istana kastil miniatur keajaiban ikon dunia instagramabble cocok usia mengisi liburan catatannya jalan lokasi arah bandung curam persiapkan kondisi kendaraan seoptimal sesehat,0.0
Sarae Hills,Bagus buat yg suka foto foto ð tempatnya lumayan luas...trnyata ini satu lokasi sama cakrawala/Dago bakery Punclut.. â¦,Positive,bagus suka foto foto ð tempatnya lumayan luas lokasi cakrawala dago bakery punclut â,1.0
Sarae Hills,"Sesuai nama lokasinya Sarae Hill. Sarae tempatnya..khususnya buat foto2 bersama teman2, saudara / keluarga. Cuma sebagian tempat / lokasinya msh dalam pembangunan..termasuk jembatan sarae hill yg blm rampung pengerjaannya...dari tempat qt beli karcis menuju lokasi wisata. Itu disediakan mobil khusus utk pengunjung..baik pergi maupun pulangnya dari lokasi sarae hill menuju parkiran / tempat karcis..Htm : 30 rb/,org seblm kenaikan",Negative,sesuai nama lokasinya sarae hill sarae tempatnya foto teman saudara keluarga lokasinya pembangunan jembatan sarae hill rampung pengerjaannya beli karcis lokasi wisata disediakan mobil khusus pengunjung pergi pulangnya lokasi sarae hill parkiran karcis htm ribu orang seblm kenaikan,0.0
Sarae Hills,"Ini yang katanya lagi Viral, HTM 50.000/px, jembatan gantung 15.000/px, free 1 cup lemon tea, area lumayan luas tapi disedikan shuttle car. Untuk bawa anak2 belum cocok, lebih ke instragammable untuk dewasa...",Positive,viral htm jembatan gantung free cup lemon tea area lumayan luas disedikan shuttle car bawa anak cocok instragammable dewasa,1.0
Sarae Hills,Bagus. Lumayan luas. Ada free shuttle utk antar jemput dr pintu masuk kawasan wisata punclut ke lokasi sarae hills. HTM 50rb. Utk naik jembatan hrs bayar lagi. Best time to visit sekitar jam 3an biar ga panas mentereng.,Positive,bagus lumayan luas free shuttle jemput pintu masuk kawasan wisata punclut lokasi sarae hills htm ribu jembatan bayar best time visit jam an biar panas mentereng,1.0
Sarae Hills,"Tempat yang nyaman buat yg seneng Foto-foto.. Ada jembatan gantung, ada miniatur icon beberapa negara.. Ntar pas masuk dpt paspor untuk distamp disetiap wahana.. ðð",Positive,nyaman senang foto foto jembatan gantung miniatur icon negara entar pas masuk paspor distamp disetiap wahana ð ð,1.0
Sarae Hills,"30 Desember 2021

Ini tu tempatnya masih msih dalam tahap pengembangan,,,cuman dah ad bbrpa yg bisa dpke buat foto2
Pintu masuk nya sma dgan kawasan punclut..
Siapkan fisik yak...wlwpun ad shuttle buat naik trun bukit...tp ttep aj ad jlan yg nanjak..
Ad bnyak guide yg jaga dan ramah2 kok...
Minta tolong buat fotoin jga siap..malah suka nawarin..
Ttep jaga prokes yak...",Positive,desember tempatnya tahap pengembangan cuman deh dipakai foto pintu masuk dgan kawasan punclut siapkan fisik ya shuttle turun bukit jlan nanjak guide jaga ramah tolong memfoto suka menawari jaga prokes ya,1.0
